Num,Setting,P,Q,R,F
4,A,0.38321485632578706,0.8354499051512235,0.4501042015675142,0.5238526596698441
4,B,0.3894466168324201,0.816667425782215,0.47597185088740046,0.531440344821272
4,C,0.36727799993407095,0.8316317853651686,0.4355962902535706,0.5063981547199209
4,D,0.403819757971823,0.8285138309107118,0.467281522037339,0.5494779857312597
4,E,0.3963185497289925,0.8349574164656072,0.47428461395080684,0.5348016140555771
5,A,0.44440260978159857,0.863480704783814,0.5115908097308122,0.5889715186951809
5,B,0.4741674337389033,0.8656000201101167,0.546002390804389,0.6245683960023576
5,C,0.462793717985567,0.8584373460648643,0.5326754026672432,0.6079953553603499
5,D,0.4762317047189188,0.8657407444141992,0.5414864883374266,0.6265749443714331
5,E,0.4501330599049151,0.8657657621808404,0.5162956752739118,0.5973288053160365
6,A,0.4230639966361211,0.8795496797224587,0.4807240840194475,0.5645947957126015
6,B,0.42530293953422016,0.8853030574446846,0.4878600716867132,0.5765993870062441
6,C,0.4525043150440582,0.8830482277574416,0.512089368361837,0.6010092243257662
6,D,0.4685838666106355,0.8826452298139406,0.5301825630329844,0.6212113414691646
6,E,0.45894444359230274,0.8882580127702795,0.5183110564636574,0.6080119978034838
7,A,0.5062856944046702,0.8783860255386828,0.5800792779860771,0.654082278672961
7,B,0.5082710912820377,0.8884694434713879,0.5722788575224124,0.6587323645936445
7,C,0.4948516999180527,0.8834593499573979,0.5660845758491844,0.6449544248613448
7,D,0.5120640002199561,0.8872225835897215,0.5771093487649142,0.6624414116300821
7,E,0.5176554353405464,0.8815482245870954,0.5844830709378034,0.6657011837462704
8,A,0.5006252686453019,0.8894010427624703,0.5643496697040017,0.6499445901668939
8,B,0.5199738729120075,0.904987363249965,0.5677941758075791,0.6705479004421248
8,C,0.49503956118435033,0.8974517533652251,0.5526607042308926,0.6459680747256847
8,D,0.5301366522681493,0.8960123661274944,0.5845572903514046,0.6794918412546047
8,E,0.5434816435874216,0.8888011379608476,0.6039908860643128,0.6895477658312351
